id,PositionTitle,Designation,Salary,Locations,VacancyType,EmploymentCategory,NumberOfVacancies,NumberOfApplicants,NumberOfSuccessfulApplicants,Remoteness,Region,Flexibility,Vacancy6MonthsOrLess,Department,ClassificationLevel,SalaryRange,ApplicantSuccessRate,Success
70031,Regional Director ,SENIOR ADMINISTRATIVE OFFICER 2,154922,Katherine,Fixed (Temporary) - Part Time,"Administration and Business Services, Agriculture, Animal and Horticulture, Executive and Senior Management",1.0,3,0,Remote,Big Rivers Region,No,No,"Department of Industry, Tourism and Trade",Middle Management,134000 - 384000,0.0,No
73024,Senior Project Officer,ADMINISTRATIVE OFFICER 7,118256,Darwin,Fixed (Temporary) - Full Time,Administration and Business Services,1.0,18,0,Outer Regional,Darwin Region,No,Yes,Department of Trade Business and Innovation,Intermediate,103000 - 134000,0.0,No
153103,Senior Program Governance Officer,ADMINISTRATIVE OFFICER 7,118256,Darwin,Fixed (Temporary) - Full Time,"Administration and Business Services, Program and Project Management, Information and Communication Technology (ICT), Legal",1.0,6,1,Outer Regional,Darwin Region,No,No,Department of Corporate and Digital Development,Intermediate,103000 - 134000,1.0,Yes
154461,Senior Dental Assistant,TECHNICAL 4,91927,Darwin,Ongoing (Permanent) - Full Time,Allied Health and Health Care Services,1.0,10,1,Outer Regional,Darwin Region,No,No,Department of Health,Intermediate,88000 - 103000,1.0,Yes
155141,Primary Health Care Nurses,NURSE LEVEL 3 RDO,109710,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Harts Range-Atitjere, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Napperby (Laramba), Nyirrpi-Waite Creek, Ti Tree, Yuendumu",Fixed (Temporary) - Full Time,"Professional, Nursing and Midwifery, Allied Health and Health Care Services, Medical",4.0,17,3,Very Remote,Barkly Region,Yes,No,Department of Health,Entry,103000 - 134000,0.75,Yes
155167,Team Leader Aboriginal Support Services Unit ,ADMINISTRATIVE OFFICER 4,79987,Alice Springs,Ongoing (Permanent) - Full Time,"Allied Health and Health Care Services, Administration and Business Services",1.0,3,1,Very Remote,Central Region,No,No,Department of Health,First Management,24000 - 88000,1.0,Yes
155547,Medical Recruitment Support Officer,ADMINISTRATIVE OFFICER 4,79987,Darwin,Ongoing (Permanent) - Full Time,"Administration and Business Services, Human Resources and Work Health Safety",1.0,37,0,Outer Regional,Darwin Region,No,No,Department of Health,Entry,24000 - 88000,0.0,No
157354,"Director, Water Licensing and Regulation",SENIOR ADMINISTRATIVE OFFICER 2,154922,Palmerston,Fixed (Temporary) - Full Time,"Administration and Business Services, Environment, Natural Resources and Conservation, Executive and Senior Management",1.0,6,1,Outer Regional,Darwin Region,No,No,"Department of Environment, Parks and Water Security",Middle Management,134000 - 384000,1.0,Yes
157778,Special Education Teacher,CLASSROOM TEACHER,84191,Milingimbi,Fixed (Temporary) - Full Time,Education and Training,1.0,0,0,Very Remote,East Arnhem Region,No,No,Department of Education,Entry,24000 - 88000,0.0,No
158315,Radiographer/Sonographer,PROFESSIONAL 2,98618,Katherine,Fixed (Temporary) - Full Time,"Allied Health and Health Care Services, Professional",1.0,0,0,Remote,Big Rivers Region,No,Yes,Department of Health,Entry,88000 - 103000,0.0,No
